Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0110976;P2;incident;Application;closed;2026-03-31;;0;3087;XStore;PRD;0,19;;N/A;2026-04-17 09:04:35;Y;;
Farmacia Arrocha;0110978;P2;incident;Application;closed;2026-03-31;;0;1492;XStore;PRD;0,16;;N/A;2026-04-22 09:04:41;Y;;
Farmacia Arrocha;0110995;P2;incident;Application;closed;2026-03-31;;0;1458;XStore;PRD;0,00;;N/A;2026-04-07 20:04:15;N;;
Farmacia Arrocha;0111005;P1;incident;Application;closed;2026-04-01;2026-04-01 03:53:29;0;17;XStore;PRD;0,06;111006;N/A;2026-04-06 14:04:24;N;;
Farmacia Arrocha;0111006;P1;problem;Application;resolved;2026-04-01;2026-04-01 03:53:27;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111070;P1;incident;Application;closed;2026-04-02;2026-04-02 03:33:24;0;19;XStore;PRD;0,06;110891;N/A;2026-04-10 09:04:53;Y;;
Farmacia Arrocha;0111091;P3;user_request;Support;closed;2026-04-02;2026-04-13 21:35:43;0;463;XStore;PRD;0,06;;N/A;2026-04-21 09:04:41;Y;;
Farmacia Arrocha;0111162;P4;problem;Application;waiting_oracle_feedback;2026-04-06;;;;Infrastructure;PRD;0,56;;N/A;;N;;
Farmacia Arrocha;0111199;P3;incident;Application;closed;2026-04-06;2026-04-13 21:32:22;0;1396;XStore;PRD;0,31;111484;N/A;2026-04-20 19:04:10;N;;
Farmacia Arrocha;0111269;P2;incident;Application;closed;2026-04-07;;0;3336;XStore;PRD;0,22;;N/A;2026-05-07 09:05:37;Y;;
Farmacia Arrocha;0111326;P2;user_request;Application;closed;2026-04-08;;0;355;XStore;PRD;0,16;;N/A;2026-04-23 09:04:36;Y;;
Farmacia Arrocha;0111333;P2;user_request;Application;closed;2026-04-08;2026-04-15 18:44:52;0;586;XStore;PRD;0,88;;N/A;2026-04-23 09:04:36;Y;;
Farmacia Arrocha;0111360;P2;incident;Application;closed;2026-04-09;2026-04-25 01:04:42;0;3351;XStore;PRD;1,50;112125;N/A;2026-05-03 09:05:40;Y;;
Farmacia Arrocha;0111361;P3;incident;Application;closed;2026-04-09;2026-04-13 21:31:15;0;1140;XStore;PRD;0,59;111484;N/A;2026-04-15 18:04:42;N;;
Farmacia Arrocha;0111375;P2;incident;Application;closed;2026-04-09;2026-04-14 18:38:17;0;494;XStore;PRD;0,13;111569;N/A;2026-04-20 19:04:37;N;;
Farmacia Arrocha;0111376;P3;incident;Application;closed;2026-04-09;2026-04-13 21:30:19;0;704;XStore;PRD;0,16;111484;N/A;2026-04-20 19:04:32;N;;
Farmacia Arrocha;0111379;P2;incident;Application;closed;2026-04-09;2026-04-13 21:04:19;0;391;XStore;PRD;0,13;111498;N/A;2026-04-21 09:04:42;Y;;
Farmacia Arrocha;0111401;P2;incident;Application;closed;2026-04-10;2026-04-13 21:17:58;0;390;XStore;PRD;0,25;111503;N/A;2026-04-20 19:04:51;N;;
Farmacia Arrocha;0111408;P2;incident;Application;closed;2026-04-10;2026-04-14 18:31:19;0;354;XStore;PRD;0,28;111568;N/A;2026-04-22 09:04:42;Y;;
Farmacia Arrocha;0111424;P2;user_request;Application;closed;2026-04-10;;0;935;XStore;PRD;0,47;;N/A;2026-04-29 09:04:38;Y;;
Farmacia Arrocha;0111439;P1;incident;Support;closed;2026-04-12;2026-04-13 22:45:18;0;123;XStore;PRD;0,28;111504;N/A;2026-04-21 09:04:44;Y;;
Farmacia Arrocha;0111484;P3;problem;Application;resolved;2026-04-13;2026-04-24 20:58:50;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111489;P2;user_request;Support;closed;2026-04-13;2026-04-13 21:13:50;0;60;XStore;PRD;0,09;;N/A;2026-04-21 09:04:45;Y;;
Farmacia Arrocha;0111498;P2;problem;Application;resolved;2026-04-13;2026-04-13 21:11:49;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111503;P2;problem;Application;resolved;2026-04-13;2026-04-13 21:18:35;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111504;P1;problem;Support;waiting_client_feedback;2026-04-13;;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0111568;P2;problem;Application;resolved;2026-04-14;2026-04-15 15:26:11;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111569;P2;problem;Application;resolved;2026-04-14;2026-04-14 18:38:49;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0111638;P2;incident;Application;closed;2026-04-15;2026-04-16 17:29:39;0;283;XStore;PRD;0,03;111484;N/A;2026-04-24 09:04:38;Y;;
Farmacia Arrocha;0111680;P2;incident;Application;closed;2026-04-16;2026-04-20 15:44:06;0;392;XStore;PRD;0,13;111846;N/A;2026-04-20 19:04:16;N;;
Farmacia Arrocha;0111695;P2;user_request;Application;closed;2026-04-16;;0;475;XStore;QA;0,38;;N/A;2026-05-02 09:05:39;Y;;
Farmacia Arrocha;0111699;P2;incident;Application;closed;2026-04-16;2026-04-17 10:51:50;0;99;XStore;PRD;0,09;111730;N/A;2026-04-21 14:04:52;N;;
Farmacia Arrocha;0111985;P2;incident;Application;closed;2026-04-22;;0;443;XStore;PRD;0,19;;N/A;2026-05-01 09:05:38;Y;;
Farmacia Arrocha;0112068;P2;incident;Application;closed;2026-04-24;2026-04-24 20:59:31;0;111;XStore;PRD;0,06;111484;N/A;2026-05-02 09:05:41;Y;;
Farmacia Arrocha;0112109;P3;incident;Application;closed;2026-04-24;;0;379;XStore;PRD;0,28;;N/A;2026-05-05 09:05:40;Y;;
Farmacia Arrocha;0112125;P2;problem;Application;resolved;2026-04-25;2026-04-25 01:07:01;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0112230;P2;user_request;Application;waiting_client_feedback;2026-04-27;;0;;XStore;PRD;0,00;;N/A;2026-05-06 09:05:34;Y;;
Farmacia Arrocha;0112380;P1;user_request;Application;closed;2026-04-29;;0;755;XStore;PRD;0,06;;N/A;2026-05-08 09:05:37;Y;;
